label,TF_UNIGRAM,IDF_UNIGRAM,TFIDF_UNIGRAM
"['anjing', 'jokowi', 'munafik', 'ni', '']","[0.25, 0.25, 0.25, 0.25]","[7.1092475827643655, 1.8362480242006185, 7.1092475827643655, 6.703782474656201]","[1.7773118956910914, 0.4590620060501546, 1.7773118956910914, 1.6759456186640502]"
"['annnjaaay', 'berani', 'nya', 'medos', 'doang', 'super', 'kecut', 'pake', 'propil', 'orang', 'tikuuus', 'azz', 'pas', 'keepuung', 'berani', 'nongol', 'eh', 'eloo', 'sembunyi', '', '', '']","[0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[5.163337433709052, 6.19295685089021, 6.703782474656201, 7.1092475827643655, 4.064725145040942, 4.0182051294060495, 5.31748811353631, 6.41610040220442, 6.703782474656201]","[1.0326674867418104, 0.6192956850890211, 0.6703782474656201, 0.7109247582764366, 0.4064725145040942, 0.40182051294060495, 0.5317488113536311, 0.6416100402204421, 0.6703782474656201]"
['apaji'],[],[],[]
"['aparat', 'ko', 'bengis', 'kayak', 'pki', 'dik', 'sambo', '']","[0.2, 0.2, 0.2, 0.2, 0.2]","[6.703782474656201, 5.029806041084529, 6.19295685089021, 6.19295685089021, 5.8564846142689975]","[1.3407564949312403, 1.0059612082169058, 1.2385913701780422, 1.2385913701780422, 1.1712969228537995]"
"['aset', 'bangsa', 'wakakakakakaakakakak', 'tot', 'tol', 'wakakakak']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[5.722953221644475, 5.605170185988092, 6.703782474656201]","[1.9076510738814916, 1.8683900619960305, 2.2345941582187336]"
"['asli', 'kang', 'bul', 'bul']","[0.25, 0.5, 0.25]","[7.1092475827643655, 7.802394763324311, 6.703782474656201]","[1.7773118956910914, 3.9011973816621555, 1.6759456186640502]"
"['assalamualaikum', 'bapa', 'maaf', 'ganggu', 'waktunyabapa', 'mantan', 'karyawan', 'bumn', 'join', 'operasional', 'asing', '', 'tidak', 'adil', 'dzolimidi', 'kerja', 'kasih', 'upah', 'kasih', 'nasi', 'box']","[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[5.237445405862774, 6.41610040220442, 7.1092475827643655, 6.19295685089021, 6.703782474656201, 7.1092475827643655, 5.40449949052594, 4.711352309965995, 6.0106352940962555, 6.0106352940962555]","[0.4761314005329794, 0.5832818547458564, 0.6462952347967605, 0.5629960773536555, 0.609434770423291, 0.6462952347967605, 0.9826362710047164, 0.4283047554514541, 0.5464213903723869, 0.5464213903723869]"
"['assalamualaikum', 'wr', 'wb', 'presiden', 'moga', 'allah', 'swt', 'senantiasa', 'limpah', 'umur', 'pimpin', 'berkah', 'indonesia', 'maju', 'lanjut', 'pulih', 'cepat', 'bangkit', 'kuat']","[0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333]","[5.722953221644475, 7.1092475827643655, 5.8564846142689975, 3.7950615780918397, 5.605170185988092, 5.605170185988092, 6.0106352940962555, 5.029806041084529, 5.029806041084529, 3.313758393592171, 7.1092475827643655, 5.8564846142689975]","[0.4769127684703729, 0.5924372985636971, 0.48804038452241644, 0.3162551315076533, 0.46709751549900763, 0.46709751549900763, 0.5008862745080213, 0.41915050342371074, 0.41915050342371074, 0.27614653279934753, 0.5924372985636971, 0.48804038452241644]"
"['astagfirullah', 'tlg', 'ganti', 'orng', 'cari', 'yg', 'lbh', 'kompeten']","[0.2, 0.2, 0.2, 0.2, 0.2]","[5.237445405862774, 5.0943445622221, 6.41610040220442, 6.0106352940962555, 2.666596326274049]","[1.0474890811725548, 1.0188689124444201, 1.2832200804408842, 1.2021270588192512, 0.5333192652548098]"
"['astaghfirullah', 'sih', 'sdh', 'sgt', 'bp', 'polri', 'trs', 'biar', 'cuit', 'brutal', 'sadis', 'spt', 'tolong', 'tunjuk', 'kewibaan', 'klian', 'sbagai', 'institusi', 'hukum', 'ngr', 'jgn', 'biar', 'bgs', 'brsikap', 'anarkis', 'bar', 'ngeri', 'nian']","[0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693]","[7.1092475827643655, 5.605170185988092, 7.1092475827643655, 7.1092475827643655, 4.544298225302828, 5.8564846142689975, 7.1092475827643655, 4.912023005428146, 5.31748811353631, 6.0106352940962555, 5.40449949052594, 7.1092475827643655]","[0.546865198674182, 0.8623338747673988, 0.546865198674182, 0.546865198674182, 0.3495614019463714, 0.4504988164822306, 0.546865198674182, 0.3778479234944728, 0.4090375471951008, 0.4623565610843274, 0.41573073004045696, 0.546865198674182]"
"['ayo', 'masyarakat', 'kasih', 'cerah', 'bas', 'data']","[0.25, 0.25, 0.25, 0.25]","[6.703782474656201, 5.605170185988092, 5.40449949052594, 5.0943445622221]","[1.6759456186640502, 1.401292546497023, 1.351124872631485, 1.273586140555525]"
"['ayo', 'wisata', 'kab', 'kota', 'tulungagung', 'aplikasi', 'desawisatanusantara', 'tppjatim', 'tppsampang']","[0.2, 0.2, 0.2, 0.2, 0.2]","[7.1092475827643655, 6.703782474656201, 5.722953221644475, 5.722953221644475, 6.19295685089021]","[1.4218495165528733, 1.3407564949312403, 1.144590644328895, 1.144590644328895, 1.2385913701780422]"
"['azwar', 'anas', 'bagus', 'banget', 'mantan', 'bupati', 'ku', 'banyuwangi']","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[5.029806041084529, 5.237445405862774, 5.8564846142689975, 5.722953221644475, 6.703782474656201, 6.703782474656201, 6.703782474656201, 6.0106352940962555]","[0.6287257551355662, 0.6546806757328467, 0.7320605767836247, 0.7153691527055593, 0.8379728093320251, 0.8379728093320251, 0.8379728093320251, 0.7513294117620319]"
['babanxnxbdjdkdkdjehdgdheuowowpppqpqiwhegdbdbxnxbxbxhdbdnmcmckckgirhgnsjs'],[],[],[]
