label,tweet
"['bbm', 'yg', 'beli', 'pagi', 'kemarin', 'minggu', 'bbm', 'perintah', 'beli', 'kemarin', 'beli', 'minggu', 'fluktuasi', 'harga', 'minyak', 'dunia', 'alas', 'naik', 'harga', 'bbm', 'alas', 'gak', 'tapat', 'sasar', 'cc']",bbm yg beli pagi kemarin minggu bbm perintah beli kemarin beli minggu fluktuasi harga minyak dunia alas naik harga bbm alas gak tapat sasar cc
"['bbrapa', 'proyek', 'yg', 'pakde', 'sebutkanbanyak', 'yg', 'mangkrak', 'sarang', 'nyamuk']",bbrapa proyek yg pakde sebutkanbanyak yg mangkrak sarang nyamuk
"['beban', 'tsb', 'kpd', 'anies', 'baswedan', 'in', 'syaaallah', 'beban', 'tsb', 'beliau', 'tanggulang', 'dg', 'sebaiknyaa', 'aamiin', '']",beban tsb kpd anies baswedan in syaaallah beban tsb beliau tanggulang dg sebaiknyaa aamiin
"['beban', 'tuntut', 'orang', 'dgn', 'yg', 'pikul']",beban tuntut orang dgn yg pikul
"['beli', 'hp', 'pulsa', 'orang', 'kembali', 'ribu', 'kadang', 'tdk', 'ambil', 'beli', 'rokok', 'bungkus', 'rb', '', 'indonesia', 'sejahter', 'mau', 'murah', 'subsidi', 'bgm', 'bangun', 'hutang', 'caci', 'maki', 'ruwet']",beli hp pulsa orang kembali ribu kadang tdk ambil beli rokok bungkus rb indonesia sejahter mau murah subsidi bgm bangun hutang caci maki ruwet
"['beli', 'pertalite', 'batas', 'avanza', 'xenia']",beli pertalite batas avanza xenia
['beliau'],beliau
"['bener', 'bgt', 'perang', 'rusia', 'ukraina', 'jokowi', 'siap', 'strategi', 'hadap', 'krisis', 'untukkesejahteraannkri']",bener bgt perang rusia ukraina jokowi siap strategi hadap krisis untukkesejahteraannkri
"['bener', 'bodoh', 'banget', 'presindent', 'pilih', 'tri', 'gak', 'orang', 'baik', 'negri', 'rusak', 'aja', 'negri']",bener bodoh banget presindent pilih tri gak orang baik negri rusak aja negri
"['beri', 'bansos', 'antisipasi', 'jokowi', 'inflasi', 'mengahdapi', 'krisis', 'ekonomi', 'untukkesejahteraannkri']",beri bansos antisipasi jokowi inflasi mengahdapi krisis ekonomi untukkesejahteraannkri
"['beri', 'bansos', 'antisipasi', 'jokowi', 'inflasi', 'untukkesejahteraannkri']",beri bansos antisipasi jokowi inflasi untukkesejahteraannkri
"['berita', 'angkat', '', 'perijinan', 'lengkap', 'fix', 'ente', 'provokator']",berita angkat perijinan lengkap fix ente provokator
"['berita', 'kejut', 'orang', 'ruu', 'ampas', 'aset', 'koruptor', 'sahkan', 'dpr', 'jokowi', 'kesah', 'dpr', '', 'rakyat', 'indonesia', 'setujuuu', '']",berita kejut orang ruu ampas aset koruptor sahkan dpr jokowi kesah dpr rakyat indonesia setujuuu
"['beritasonora', 'azwar', 'anas', 'lantik', 'menpanrb', 'jokowi', 'track', 'recordnya', 'inovatif']",beritasonora azwar anas lantik menpanrb jokowi track recordnya inovatif
"['beritasonora', 'profil', 'kaya', 'abdullah', 'anzwar', 'anas', 'menpan', 'rb', 'lantik', 'presiden', 'jokowi']",beritasonora profil kaya abdullah anzwar anas menpan rb lantik presiden jokowi
"['biadab', 'dah', 'luka', 'bawa', 'kaya', 'gitu', '']",biadab dah luka bawa kaya gitu
"['biar', 'jokowi', 'aja', 'sulit', 'cari', 'pakde', 'tuju', '', '', '']",biar jokowi aja sulit cari pakde tuju
"['biar', 'laku', 'dagang', 'pake', 'nama', 'jokowi']",biar laku dagang pake nama jokowi
"['biarin', '', 'sopan', 'sidang', 'pake', 'hijab', 'alim', 'gitu', 'gak', 'tega', 'ah', 'hukum', 'klo', 'abis', 'tempat', 'kerja', 'korupsi', 'tangkap', 'bebas', 'lama', 'kaya', 'raya', '', '']",biarin sopan sidang pake hijab alim gitu gak tega ah hukum klo abis tempat kerja korupsi tangkap bebas lama kaya raya
"['bicara', 'buruk', 'refleksi', 'anak', 'masalah', 'minus', 'pribadi', 'kerja', 'tdk', 'mahasiswa', 'kl', 'visioner', 'berfikir', 'diskus', 'demo', 'dgn', 'teriak', 'sekolah', 'tdk', 'paham']",bicara buruk refleksi anak masalah minus pribadi kerja tdk mahasiswa kl visioner berfikir diskus demo dgn teriak sekolah tdk paham
"['bijak', 'perintah', 'dogma kalau', 'presiden', 'bius', 'rakyat', 'spt', 'bijak', 'pimpin', 'sblmnyabbm', 'ga', 'naik', 'harganyaberi', 'aja', 'subsidi', 'banyak analisa', 'bijak', 'dlm', 'korelasi', 'dg', 'ekonomi', 'global']",bijak perintah dogma kalau presiden bius rakyat spt bijak pimpin sblmnyabbm ga naik harganyaberi aja subsidi banyak analisa bijak dlm korelasi dg ekonomi global
"['bijak', 'sby', 'jokowi', 'ekonomi', '', 'beda', 'sby', 'hati', 'hati', '', 'semngat', 'cabut', 'subsidi', 'bangun', 'dr', 'hutang', '', 'oligarki', 'politik', 'ekonomi', '']",bijak sby jokowi ekonomi beda sby hati hati semngat cabut subsidi bangun dr hutang oligarki politik ekonomi
"['bikin', 'anak', 'bikin', 'enak', '', '', '']",bikin anak bikin enak
"['bikin', 'makan', 'ngurus', 'wajib', 'kerja', 'ttp', 'fokus', 'ribet']",bikin makan ngurus wajib kerja ttp fokus ribet
"['bikin', 'malu', 'orang', 'kolot', 'yg', 'ga', 'paham', 'internet', 'programmer', 'tahan', 'dungu', 'banget', 'ga', 'menteri', 'serta', 'jajar', 'rombak', 'aja']",bikin malu orang kolot yg ga paham internet programmer tahan dungu banget ga menteri serta jajar rombak aja
"['bilang', 'ekonomi', 'negara', 'sepenuh', 'stabil', 'brolihat', 'berita', 'negara', 'bro', 'hahahadi', 'presiden', 'indonesia', 'jokowi', 'bro', '', 'nya', 'ya', 'bro', 'presiden', 'jokowi', 'bakar', 'mana', 'uang', 'subsidi', 't', 'itusehingga', 'bbm']",bilang ekonomi negara sepenuh stabil brolihat berita negara bro hahahadi presiden indonesia jokowi bro nya ya bro presiden jokowi bakar mana uang subsidi t itusehingga bbm
['bilangin'],bilangin
"['bipang', 'koment', '', '', '']",bipang koment
"['biru', 'biru', 'ngenes', '', 'liat', 'demokerat', 'asa', 'liat', 'chelsea', '', 'liat', 'tuchel', 'pecat', '', 'kapangiliran', 'si', 'anak', 'mami', '', 'gilir', 'dipechattt', '', 'yakan', '', 'yakan', '', 'yaiyalah', '', '', '']",biru biru ngenes liat demokerat asa liat chelsea liat tuchel pecat kapangiliran si anak mami gilir dipechattt yakan yakan yaiyalah
['blt'],blt
"['blt', 'ya', 'zaman', 'sby', 'situsai', 'dunia', 'penuh', 'ketidakpastian', 'ubah', 'cepat', 'aja', 'pola', 'variabel', 'aja', 'kompleks', 'atur', 'penuh', 'ketidakpastian', 'ubah', 'cepat']",blt ya zaman sby situsai dunia penuh ketidakpastian ubah cepat aja pola variabel aja kompleks atur penuh ketidakpastian ubah cepat
"['bner', 'ya', 'negara', 'ga', 'bsa', 'intervensi', 'ya', 'trus', 'ngarepin', 'masyarakat']",bner ya negara ga bsa intervensi ya trus ngarepin masyarakat
"['', 'bocor', 'negeri']",bocor negeri
"['bodoh', 'publik', 'bbm', 'subsidi', 'uang', 'mana', '', 'harga', 'bbm', 'anggar', 'subsidi', 'kompensasi', 'bengkak', 'rp', 't']",bodoh publik bbm subsidi uang mana harga bbm anggar subsidi kompensasi bengkak rp t
"['bogor', 'istana', '', 'jokowi', 'bagus', 'ngapai', 'urus', 'demo', 'tungangi', 'oposan', 'haus', 'kuasa', '', 'fokus', 'ngurus', 'rakyat', 'waras', 'ngurusi', 'orang', 'orang', 'bikin', 'susah', 'rakyat']",bogor istana jokowi bagus ngapai urus demo tungangi oposan haus kuasa fokus ngurus rakyat waras ngurusi orang orang bikin susah rakyat
"['bohong', 'dusta', 'rezim', 'jokowi']",bohong dusta rezim jokowi
"['bolot', '', 'pret', '', 'pret', '', 'msh', 'ambyar', '', 'c', 'muak', 'liat', 'otak', 'bolot', 'mu', '', 'blajar', 'thn', 'y', '', 'pret', '']",bolot pret pret msh ambyar c muak liat otak bolot mu blajar thn y pret
"['bos', 'setia', 'perintah', 'jokowi', 'lanjut', 'jokowi', 'periode', 'umur', 'hidup', 'mantap']",bos setia perintah jokowi lanjut jokowi periode umur hidup mantap
"['bro', 'en', 'sis', 'dengerin', 'tuh', 'die', 'hard', 'nya', 'yg', 'bicara', 'buzzerrp', 'yg', 'puja', 'puji', 'org', 'otak', 'yg', 'normal', 'periksa', 'otak', '', 'kepala', 'buzzer']",bro en sis dengerin tuh die hard nya yg bicara buzzerrp yg puja puji org otak yg normal periksa otak kepala buzzer
"['bro', 'sis', 'y', 'rakyat', 'jgn', 'diam', 'aja', 'perintah', 'sdh', 'aju', 'ruu', 'ampas', 'aset', 'koruptor', 'tp', 'dpt', 'cuek', 'tu']",bro sis y rakyat jgn diam aja perintah sdh aju ruu ampas aset koruptor tp dpt cuek tu
"['bu', 'menkeu', 'dll', '', 'orang', 'erick', '', '']",bu menkeu dll orang erick
"['buang', 'uang']",buang uang
['bubar'],bubar
"['bubar', 'fkub', 'bubarkanfkub', 'forum', 'bangsat', 'gak', 'representasi', 'tindas', 'gerombol', 'anjing', '', 'khilafuck', 'cc']",bubar fkub bubarkanfkub forum bangsat gak representasi tindas gerombol anjing khilafuck cc
"['bubar', 'kpk', 'yg', 'main', 'politik', 'anak', 'jokowi', 'korupsi', 'tdk', 'berani', 'atas']",bubar kpk yg main politik anak jokowi korupsi tdk berani atas
"['bubar', 'kpk', 'yg', 'main', 'politik', 'atas', 'korupsi', 'anak', 'jokowi', 'tdk', 'sanggup']",bubar kpk yg main politik atas korupsi anak jokowi tdk sanggup
['bubarin'],bubarin
"['bubarin', 'fpi']",bubarin fpi
"['buruk', '', 'yg', 'suap', 'jalur', 'mandiri', 'mana', 'lha', 'solusi', 'utbk', 'tps', '', 'kapital', 'didik', 'ptn', 'subur']",buruk yg suap jalur mandiri mana lha solusi utbk tps kapital didik ptn subur
"['buset', 'gimana', 'sih', 'ga', 'masukin', 'langgar', 'ham', 'kabinet']",buset gimana sih ga masukin langgar ham kabinet
['buszerrrp'],buszerrrp
"['butuh', 'presiden', 'tangan', 'jokowi', 'indonesia', 'relatif', 'suram']",butuh presiden tangan jokowi indonesia relatif suram
"['buzzer', 'jilat', 'emang', 'rusak', 'demo', 'salah', 'naik', 'bbm', 'salah', 'rakyat', 'lepas', 'pandemi', 'janji', 'ekonomi', 'roket', 'tangan', 'jokowi', 'nyata', 'harga', 'pasar', 'roket', 'hutang', 'negara']",buzzer jilat emang rusak demo salah naik bbm salah rakyat lepas pandemi janji ekonomi roket tangan jokowi nyata harga pasar roket hutang negara
"['buzzerp', 'cebong', 'kalo', 'bijak', 'naik', 'harga', 'bbm', 'untung', 'rakyatbuktikan', 'dongloe', 'kawan', 'kolam', 'loe', 'ngumpul', 'pasar', 'teriak', 'woooiii', 'naik', 'bbm', 'sejahtera', 'rakyat', 'lochnah', 'loe', 'sanjung', 'gulung']",buzzerp cebong kalo bijak naik harga bbm untung rakyatbuktikan dongloe kawan kolam loe ngumpul pasar teriak woooiii naik bbm sejahtera rakyat lochnah loe sanjung gulung
"['buzzerrp', 'ttg', 'kondisi', 'sosial', 'jokowi', 'jd', 'presiden', 'pancasila', 'uud', 'sbg', 'landas', 'negara', 'politik', 'jalan', 'stabil', 'ekonomi', 'baik', 'dgn', 'tingkat', 'rakyat', 'makmur', 'sejahtera', 'sosial', 'budaya', 'yg', 'ramah', 'hukum', 'yg', 'adil', 'cipta', 'aman', 'masyarakat']",buzzerrp ttg kondisi sosial jokowi jd presiden pancasila uud sbg landas negara politik jalan stabil ekonomi baik dgn tingkat rakyat makmur sejahtera sosial budaya yg ramah hukum yg adil cipta aman masyarakat
"['cacat', 'pikir', 'rawat', 'megalomania', 'luhut', 'puji', 'jokowi', 'naik', 'harga', 'bbm', 'hebat']",cacat pikir rawat megalomania luhut puji jokowi naik harga bbm hebat
"['cakep', 'banget', 'dah', 'kerja', '', 'kerja', '', 'kerja', '', 'bantu', 'rombak', 'kaga', 'kayak', '', 'indonesia', 'hebat', '', '']",cakep banget dah kerja kerja kerja bantu rombak kaga kayak indonesia hebat
"['catat', 'ya', 'guys', '', 'skandal', 'jd', 'bg', 'org', 'pikir', 'jabat', 'zina', 'skandal', '', 'moral', 'bejad', 'd', 'skandal', 'bobrok', 'moral']",catat ya guys skandal jd bg org pikir jabat zina skandal moral bejad d skandal bobrok moral
"['cc', 'blunder', 'pilih', 'tri']",cc blunder pilih tri
"['cc', 'kagak', 'ngerti']",cc kagak ngerti
"['cebong', 'curut', 'gin', 'yg', 'bikin', 'kotor', 'bangsa']",cebong curut gin yg bikin kotor bangsa
"['cebong', 'nama', 'klo', 'ga', 'guoblok', '']",cebong nama klo ga guoblok
"['cebong', 'paham', 'bginian', '', 'gak', 'otak', '', 'otak', 'jilat', '', 'gue', 'nih', 'cebi', 'akut', '', 'ya', 'bgtu', 'model', 'komentar', '', 'bloon']",cebong paham bginian gak otak otak jilat gue nih cebi akut ya bgtu model komentar bloon
"['cerita', 'yg', 'cerita', 'si', 'jokowi', 'si', 'dusta', 'raja', 'kibul']",cerita yg cerita si jokowi si dusta raja kibul
"['cie', 'yg', 'pinter']",cie yg pinter
"['ciri', 'benci', 'jokowi', 'perintah', '', 'bodoh', 'ngomong', 'gak', 'lancar', '', 'lanjut']",ciri benci jokowi perintah bodoh ngomong gak lancar lanjut
"['coba', 'cek', '']",coba cek
"['coba', 'kalo', 'ganjar', 'jokowi', 'yg', 'panggil', 'beda', 'cocor', 'emang', 'malaikat']",coba kalo ganjar jokowi yg panggil beda cocor emang malaikat
"['coba', 'kasih', 'solusi', 'yg', 'nyata', 'kreatif', 'dikit', 'donk', 'males', 'mikir', 'tukang', 'nyinyir', 'luh']",coba kasih solusi yg nyata kreatif dikit donk males mikir tukang nyinyir luh
"['cuek', 'banget', 'ya']",cuek banget ya
"['dana', 'taperum', 'pensiun', 'yg', 'sdh', 'daftar', 'blm', 'jg', 'ditransfr', 'dana', 'potensi', 'korup', 'sbb', 'proses', 'sngt', 'lm', 'mk', 'dr']",dana taperum pensiun yg sdh daftar blm jg ditransfr dana potensi korup sbb proses sngt lm mk dr
