term,tf_idf
dipake,2.2860510348746343
dipanggil,1.5584849558357479
diperlakukan,0.9399057665864222
dipisah,0.8197194384143414
diri,2.7101618230156745
dirumah,1.601695463878932
dirumahnya,1.0478019475502307
disini,2.1442924210030956
ditinggal,0.9252761611727418
dlm,1.3824853511835853
dlu,0.9190420235976857
do,2.851351159997572
doa,1.155464137459071
doang,4.64187218000056
dong,23.5526115377984
dongg,3.527301807376632
donggg,2.6418911454417655
doong,0.7525856343450458
dpn,0.9956202371589716
dposisi,2.028953161142716
dpt,2.9121533537169184
dr,7.112075764424328
drakor,1.1031664070985059
drama,0.8491782824185735
dri,1.3753638867245348
dua,0.6732440586222828
duet,2.4151204369265287
dulu,11.127381496010235
dung,1.4307995657602084
earphone,0.9964687287431151
eh,2.9105636882026795
elo,2.1972548346463476
