datetime,username,content
2022-12-14 11:39:47+00:00,dearlyright,@FOOD_FESS NDER SETUJU BANGET APALAGI YANG KEJUUU ENAK PARAH. AKU SAMA PACARKU SUKA BANGETTTT
2022-12-14 11:39:47+00:00,RaidonKimura91,@MrCrush_02 Tak setuju
2022-12-14 11:39:46+00:00,Ihsanulfikri_17,@mubaroks_ @mojokdotco Nek iki rodo setuju
2022-12-14 11:39:43+00:00,ABON08195286,"@Taher59325219 @dodisugianto8 @THE_DJOE @jokowi Sekelas pak Dudung selaku kasad tdk perna- mengklaim OPM teroris,bahkan dunia internasional tdk setuju dgn sebutan teroris jadi anda itu mengada Ngada."
2022-12-14 11:39:40+00:00,abangmatlejen,"@madk9506 @Mxllan Yg kata cadangan tu Muhyiddin. Kalau kata cadangan, mana mungkin YDPA minta utk sign dokumen untuk setuju atau tolak “cadangan” baginda. Kalau bukan untuk bergabung dah kenapa YDPA panggil PH-PN ke istana. Bangangnya hg ni. Sbb kedua ni kalau gabung maka cukup la simple majority"
2022-12-14 11:39:38+00:00,sjxjs,@nctzenbase Heh iyaaa setuju bgttttt. 90s love jg jd lagu no 1 yg paling kusuka dr dulu smp skrng selalu nangkring paling pertama wkwkwk enak bgt soalnya apa lg part haechan candu bgt
2022-12-14 11:39:26+00:00,SyarifNombong,"@cakimiNOW Setuju Gus Muhaimin.
Kritik konstruktif itu perlu"
2022-12-14 11:39:23+00:00,Choliq_Fastac,@cakimiNOW Setuju Gus...
2022-12-14 11:38:57+00:00,blue_decamax,"Dari tahun 2010 mula² internet fiber wujud sampai la sekarang dah penghujung 2022 nak masuk 2023, masih lagi guna alasan ""at least dapat XX penduduk setuju, baru tarik kabel"" ya. Masih tak boleh dapat fiber di semua tempat, padahal TM monopoli kot. 🤦 https://t.co/I7Voccr2gf"
2022-12-14 11:38:54+00:00,BangJessin,"@resistance26 @worksfess Setuju, dan pada dasarnya setiap orang punya rejekinya masing2."
2022-12-14 11:38:46+00:00,hasyimmah,@dhenandar0770 Hehe saya gak setuju.
2022-12-14 11:38:35+00:00,hamizmuaz,@amaninahusnaa_ SETUJU!!!
2022-12-14 11:38:32+00:00,55br55br,Pas gue jd headhunt kl lagi nyari org atau kedapet cv modelan gtu emg dsuruh skip krn dianggap ntar ga bisa kompeten gtu. Gue setuju ama salah 1 di repnya kl adanya perbedaan budaya jaman dlu ama skrg. https://t.co/XCCr5M9QAl
2022-12-14 11:38:31+00:00,pejuang85725161,@cakimiNOW Setuju Gus
2022-12-14 11:38:29+00:00,keuretrievers,@hoonkiiex 😭😭😭😭 semua orang pun setuju ikeu sangat gemas dan lucu 😭
2022-12-14 11:38:29+00:00,hasyimmah,@AryaBanyu3 Hehe saya nggak setuju sih. Ronaldo pernah lebih baik.
2022-12-14 11:38:06+00:00,Laditian,@meavolent Setuju.
2022-12-14 11:37:58+00:00,Yokhebed11,@__pawyoongi Setuju nih 😁😁😁🤣🤣
2022-12-14 11:37:42+00:00,tukangrongsokp,"@Reesty_Cayah @ListyoSigitP Setuju, tp knp ya minimal ada admin dr @ListyoSigitP atau dari @DivHumas_Polri  atau minimal dr @kemendagri  ataupun dar aparat terkait ya? Apa mereka ga lihat atau pura² dan cuek soal yg begini?"
2022-12-14 11:37:06+00:00,Hulk_SelluHijaU,@Notonegoro2024 @Andirahmaf1 @Mas_zobirin Setuju....
2022-12-14 11:37:04+00:00,hourlymistress,@dmirrati @kochengfs pp mu menjelaskan semuanya dan aku setuju untuk bola bulu ini ditepok😭🙏🏻
2022-12-14 11:37:03+00:00,174ion,@siworldmd WKWK SETUJU. Bolong kah bre?
2022-12-14 11:37:00+00:00,satukomando_,@pacar_awkarin @Blackburger_28 Setuju bang 👍👍👍
2022-12-14 11:37:00+00:00,Ombudhiii,@cakimiNOW Setuju Gus
2022-12-14 11:36:51+00:00,sarwono_inda,"@cakimiNOW Setuju Cak Imin, apa di sampaikan Bupati Meranti memperjuangkan hak-hak mereka  karena tingkat kemiskinan ekstrem tinggi, semoga ada solusinya"
2022-12-14 11:36:39+00:00,ConfUshii,@Voidablebts SETUJU!
