,final,TF_UNIGRAM,IDF_UNIGRAM,TFIDF_UNIGRAM
586,skrg udah thn ttp jatuh cinta yg kesan tuh pas sd telpon main bareng seru nunggu esok tuh excited bgt ngobrol random ttp ketawa skrg pdkt cowok hambar gitu aja aneh gak sih aneh,"[0.03333333333333333, 0.06666666666666667, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.06666666666666667, 0.03333333333333333, 0.06666666666666667, 0.06666666666666667, 0.03333333333333333, 0.03333333333333333]","[3.883403088580071, 6.52246041819533, 6.29931686688112, 3.7978809151419095, 6.52246041819533, 5.6061696863211745, 6.810142490647111, 3.689247074139114, 3.8657035114806706, 7.215607598755275, 6.810142490647111, 5.075541435259004, 6.116995310087166, 6.810142490647111, 4.1710851610318525, 7.215607598755275, 5.829313237635384, 5.962844630259907, 6.29931686688112, 4.124565145396959, 6.116995310087166, 6.810142490647111, 6.116995310087166, 4.541458949328746, 3.5780214390288894, 2.8525089739669127]","[0.1294467696193357, 0.4348306945463553, 0.20997722889603732, 0.1265960305047303, 0.21741534727317766, 0.1868723228773725, 0.22700474968823703, 0.1229749024713038, 0.12885678371602236, 0.24052025329184248, 0.22700474968823703, 0.16918471450863348, 0.2038998436695722, 0.22700474968823703, 0.13903617203439508, 0.24052025329184248, 0.1943104412545128, 0.19876148767533022, 0.20997722889603732, 0.1374855048465653, 0.4077996873391444, 0.22700474968823703, 0.4077996873391444, 0.3027639299552497, 0.11926738130096298, 0.09508363246556376]"
587,cowo sebel ga si kalo cewenya abis ngasih pap foto bikin sw instastory si cewe,"[0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.07692307692307693]","[4.96431580014878, 4.817712325956904, 5.51085950651685, 5.200704578213011, 5.269697449699962, 2.7326050467413916, 7.215607598755275, 3.2547944291576973, 5.711530201979001, 6.116995310087166, 4.612917913310891, 7.215607598755275]","[0.3818704461652908, 0.3705932558428388, 0.4239122697320654, 0.4000541983240778, 0.40536134228461246, 0.21020038821087628, 0.5550467383657904, 0.2503688022428998, 0.43934847707530783, 0.4705381007759359, 0.7096796789709064, 0.5550467383657904]"
588,guys uas pas sekolah trus udah siap kalo sender sie dh yh,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[6.810142490647111, 3.303584593327129, 3.2547944291576973, 4.1710851610318525, 5.200704578213011, 3.4428466606606367, 6.810142490647111, 5.6061696863211745, 3.5780214390288894, 5.51085950651685]","[0.6810142490647112, 0.3303584593327129, 0.32547944291576975, 0.4171085161031853, 0.5200704578213011, 0.34428466606606367, 0.6810142490647112, 0.5606169686321175, 0.35780214390288895, 0.551085950651685]"
589,kalo dokter trs kasih obat racik kalo alergi kambuh pas obat abis dlm itungan wajib dokter lg resep gmn,"[0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091]","[4.96431580014878, 5.51085950651685, 3.2547944291576973, 7.215607598755275, 4.773260563386071, 5.51085950651685, 6.29931686688112, 4.1710851610318525, 4.864232341591798]","[0.45130143637716186, 0.5009872278651681, 0.5917808053013995, 0.6559643271595704, 0.4339327784896428, 0.5009872278651681, 1.1453303394329308, 0.3791895600938048, 0.4422029401447089]"
590,guys open adopt kucing milik suruh bayar gimana kalimat jangan salty ya,"[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[6.52246041819533, 6.29931686688112, 3.749871695955549, 3.303584593327129, 6.810142490647111, 5.269697449699962, 7.215607598755275, 6.52246041819533, 5.711530201979001, 5.829313237635384, 6.116995310087166]","[0.5929509471086664, 0.5726651697164654, 0.3408974269050499, 0.3003258721206481, 0.6191038627861011, 0.47906340451817836, 0.6559643271595704, 0.5929509471086664, 0.5192300183617274, 0.5299375670577622, 0.5560904827351969]"
591,kak rahmat gue uda bbrpa have crush on tpi gue bru tau klo trnyta lo uda cewe,"[0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285]","[7.215607598755275, 5.51085950651685, 4.507557397653065, 4.38239425469906, 5.829313237635384, 6.29931686688112, 5.018383021419056, 6.116995310087166, 5.6061696863211745, 4.1475546636216585, 6.52246041819533, 7.90875477931522]","[0.5154005427682339, 0.3936328218940607, 0.32196838554664753, 0.6260563220998656, 0.416379516973956, 0.44995120477722284, 0.3584559301013611, 0.43692823643479756, 0.40044069188008385, 0.29625390454440415, 0.46589002987109496, 1.1298221113307456]"
592,kasi ide virtual date tia,"[0.25, 0.25, 0.25, 0.25]","[7.215607598755275, 6.116995310087166, 5.200704578213011, 6.810142490647111]","[1.8039018996888188, 1.5292488275217915, 1.3001761445532527, 1.7025356226617778]"
593,buka hati deketin gak tau confess gimana moga dua,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[5.343805421853684, 6.116995310087166, 6.810142490647111, 3.689247074139114, 3.749871695955549, 5.6061696863211745, 6.29931686688112, 4.1475546636216585]","[0.6679756777317105, 0.7646244137608957, 0.8512678113308889, 0.46115588426738924, 0.4687339619944436, 0.7007712107901468, 0.78741460836014, 0.5184443329527073]"
594,yg bikin ngecrushin,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[4.817712325956904, 5.962844630259907, 2.8525089739669127]","[1.6059041086523014, 1.9876148767533022, 0.9508363246556375]"
595,cw food roti bakar harga dapet roti pake roti tawar klean murah mahal,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.3]","[5.13616605707544, 5.711530201979001, 6.52246041819533, 5.962844630259907, 6.116995310087166, 6.52246041819533, 3.9769291465908947, 6.810142490647111]","[0.513616605707544, 0.5711530201979002, 0.652246041819533, 0.5962844630259907, 0.6116995310087167, 0.652246041819533, 0.3976929146590895, 2.0430427471941335]"
596,makan mie yes no,"[0.25, 0.25, 0.25, 0.25]","[4.96431580014878, 6.810142490647111, 5.711530201979001, 7.215607598755275]","[1.241078950037195, 1.7025356226617778, 1.4278825504947503, 1.8039018996888188]"
597,emang kompetitif bgt bpk sy https tco,"[0.2, 0.2, 0.2, 0.2, 0.2]","[3.7978809151419095, 5.962844630259907, 2.2992829841302607, 6.116995310087166, 2.2992829841302607]","[0.7595761830283819, 1.1925689260519814, 0.4598565968260522, 1.2233990620174333, 0.4598565968260522]"
598,suka cowo pinter pas udah dapet insecure ngang ngong,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[5.200704578213011, 5.711530201979001, 6.29931686688112, 4.1710851610318525, 6.810142490647111, 4.2978368666709965, 3.5780214390288894]","[0.7429577968875729, 0.8159328859970001, 0.8999024095544457, 0.595869308718836, 0.972877498663873, 0.6139766952387138, 0.5111459198612699]"
599,gue kesel bgt sm org kek gin asli https tco,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[6.29931686688112, 3.7978809151419095, 4.245193133185574, 4.38239425469906, 2.2992829841302607, 5.269697449699962, 6.810142490647111, 5.711530201979001, 5.200704578213011, 2.2992829841302607]","[0.6299316866881121, 0.37978809151419096, 0.4245193133185574, 0.438239425469906, 0.2299282984130261, 0.5269697449699962, 0.6810142490647112, 0.5711530201979002, 0.5200704578213011, 0.2299282984130261]"
600,sender ketemu crush pagi sampe sore ngobrol sjshskaj,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[4.507557397653065, 5.343805421853684, 6.116995310087166, 4.773260563386071, 4.650658241293739, 3.4428466606606367, 7.215607598755275]","[0.6439367710932951, 0.7634007745505262, 0.8738564728695951, 0.68189436619801, 0.6643797487562484, 0.49183523723723377, 1.0308010855364678]"
601,au angst sad bangett dong ken nang habis stock au,"[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[6.810142490647111, 6.52246041819533, 6.116995310087166, 4.353406717825807, 5.51085950651685]","[2.2700474968823703, 1.0870767363658882, 1.0194992183478608, 0.7255677863043012, 0.9184765844194749]"
602,tolong saran bingung banget terima kasih https tco rexa,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[3.81441021709312, 4.730700948967275, 2.2992829841302607, 4.773260563386071, 4.03755376840733, 2.2992829841302607, 5.6061696863211745, 4.412247217848741]","[0.47680127713664, 0.5913376186209094, 0.2874103730162826, 0.5966575704232588, 0.5046942210509162, 0.2874103730162826, 0.7007712107901468, 0.5515309022310926]"
603,hidup flat aja gak semangat ngapa ngapain gak ambisi gak hati bawa cape gak ngapa ngapain asa cape,"[0.0625, 0.0625, 0.0625, 0.125, 0.25, 0.0625, 0.0625, 0.125, 0.125, 0.0625]","[3.883403088580071, 5.711530201979001, 6.52246041819533, 5.51085950651685, 3.689247074139114, 5.6061696863211745, 6.29931686688112, 7.215607598755275, 6.29931686688112, 6.116995310087166]","[0.24271269303625445, 0.3569706376236876, 0.4076537761372081, 0.6888574383146062, 0.9223117685347785, 0.3503856053950734, 0.39370730418007, 0.9019509498444094, 0.78741460836014, 0.38231220688044787]"
604,saranin webtoon karakter cewe cowonya poni kek anak remaja,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[4.650658241293739, 5.51085950651685, 7.215607598755275, 5.269697449699962, 7.215607598755275, 4.817712325956904, 7.215607598755275]","[0.6643797487562484, 0.7872656437881214, 1.0308010855364678, 0.7528139213857088, 1.0308010855364678, 0.6882446179938434, 1.0308010855364678]"
605,capek bgt packing barang sendiri pindah kos,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[6.116995310087166, 3.7978809151419095, 5.962844630259907, 6.116995310087166, 6.810142490647111, 6.52246041819533]","[1.0194992183478608, 0.6329801525236516, 0.9938074383766511, 1.0194992183478608, 1.1350237484411851, 1.0870767363658882]"
606,kalo jam gin cocok gak kalo sholat taubat bagus jam,"[0.125, 0.125, 0.125, 0.125, 0.25, 0.25]","[5.711530201979001, 5.711530201979001, 3.689247074139114, 4.245193133185574, 5.018383021419056, 3.2547944291576973]","[0.7139412752473752, 0.7139412752473752, 0.46115588426738924, 0.5306491416481968, 1.254595755354764, 0.8136986072894243]"
607,guys klo senam wajah doang tnpa pake guasha bikin pipi jdi tirus ga,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[4.817712325956904, 5.018383021419056, 2.7326050467413916, 3.303584593327129, 6.810142490647111, 5.018383021419056, 3.9769291465908947, 6.810142490647111]","[0.602214040744613, 0.627297877677382, 0.34157563084267395, 0.41294807416589113, 0.8512678113308889, 0.627297877677382, 0.49711614332386184, 0.8512678113308889]"
608,duit jajan abis,"[0.5, 0.5]","[4.96431580014878, 5.962844630259907]","[2.48215790007439, 2.9814223151299535]"
609,tanggal ya desember https tco oaosapgzhu,"[0.25, 0.25, 0.25, 0.25]","[2.2992829841302607, 7.215607598755275, 2.2992829841302607, 6.116995310087166]","[0.5748207460325652, 1.8039018996888188, 0.5748207460325652, 1.5292488275217915]"
610,coba ceritain giat pas sd pagi sampe malem,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[6.810142490647111, 4.91302250576123, 6.810142490647111, 5.51085950651685, 4.773260563386071, 4.1710851610318525, 4.650658241293739, 5.962844630259907]","[0.8512678113308889, 0.6141278132201538, 0.8512678113308889, 0.6888574383146062, 0.5966575704232588, 0.5213856451289816, 0.5813322801617173, 0.7453555787824884]"
611,jujur affiliator bingung promosi gimana awam mau promosi gimana semangat yaa affiliator nambah duit tabung https tco qljssbn,"[0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[4.730700948967275, 5.962844630259907, 3.749871695955549, 2.2992829841302607, 5.711530201979001, 6.52246041819533, 6.116995310087166, 6.810142490647111, 2.2992829841302607, 4.245193133185574]","[0.43006372263338866, 0.5420767845690825, 0.6817948538100999, 0.2090257258300237, 0.5192300183617274, 0.5929509471086664, 0.5560904827351969, 0.6191038627861011, 0.2090257258300237, 0.38592664847141583]"
612,last day in october drop foto jepret liat donggg https tco kwrbeqargz,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[5.962844630259907, 5.962844630259907, 5.343805421853684, 5.269697449699962, 2.2992829841302607, 5.200704578213011, 6.52246041819533, 4.612917913310891, 6.52246041819533, 2.2992829841302607]","[0.5962844630259907, 0.5962844630259907, 0.5343805421853685, 0.5269697449699962, 0.2299282984130261, 0.5200704578213011, 0.652246041819533, 0.46129179133108916, 0.652246041819533, 0.2299282984130261]"
613,please normalize beli kue ultah tadi pas beli kue mbak senyum pas toko mbak ketawa temennya gatau senyum ramah senyum ngejek ngetawain yg beli kue hbd to me,"[0.14285714285714285, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.14285714285714285, 0.047619047619047616, 0.09523809523809523, 0.047619047619047616, 0.14285714285714285, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616]","[4.689878954447019, 5.343805421853684, 7.215607598755275, 6.810142490647111, 6.52246041819533, 5.075541435259004, 4.1710851610318525, 5.6061696863211745, 7.215607598755275, 7.215607598755275, 4.773260563386071, 6.52246041819533, 5.6061696863211745, 2.8525089739669127]","[0.6699827077781456, 0.2544669248501754, 0.34360036184548925, 0.3242924995546243, 0.9317800597421899, 0.2416924492980478, 0.3972462058125574, 0.26696046125338924, 1.0308010855364678, 0.34360036184548925, 0.22729812206600336, 0.3105933532473966, 0.26696046125338924, 0.13583376066509106]"
614,allah sekolah gw razia isi hp,"[0.2, 0.2, 0.2, 0.2, 0.2]","[5.711530201979001, 5.6061696863211745, 5.13616605707544, 5.075541435259004, 5.200704578213011]","[1.1423060403958003, 1.121233937264235, 1.027233211415088, 1.015108287051801, 1.0401409156426022]"
615,suka pedes manis sih pedes,"[0.2, 0.4, 0.2, 0.2]","[6.116995310087166, 7.215607598755275, 4.124565145396959, 4.2978368666709965]","[1.2233990620174333, 2.8862430395021104, 0.8249130290793918, 0.8595673733341993]"
616,saranin buah tangan jenguk nenek bingung bawain pergi kampung,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[4.730700948967275, 4.817712325956904, 6.52246041819533]","[1.5769003163224249, 1.6059041086523014, 2.1741534727317764]"
617,kalo gimana yg dilakuin pacar salah lost feeling https tco,"[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[6.810142490647111, 3.749871695955549, 2.2992829841302607, 3.2547944291576973, 6.810142490647111, 4.412247217848741, 4.96431580014878, 2.2992829841302607, 2.8525089739669127]","[0.7566824989607901, 0.41665241066172765, 0.2554758871255845, 0.36164382546196633, 0.7566824989607901, 0.49024969087208226, 0.5515906444609755, 0.2554758871255845, 0.31694544155187915]"
618,guysss mata minus silinder kanan kiri ga ganggu sebenernya pake kacamata ngga,"[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[2.7326050467413916, 6.116995310087166, 6.116995310087166, 7.215607598755275, 7.215607598755275, 6.810142490647111, 6.810142490647111, 6.810142490647111, 4.730700948967275, 3.9769291465908947, 6.29931686688112]","[0.2484186406128538, 0.5560904827351969, 0.5560904827351969, 0.6559643271595704, 0.6559643271595704, 0.6191038627861011, 0.6191038627861011, 0.6191038627861011, 0.43006372263338866, 0.361539013326445, 0.5726651697164654]"
619,guys laptop keyboardnya lampu gitu kisar harga,"[0.2, 0.2, 0.2, 0.2, 0.2]","[3.8657035114806706, 3.303584593327129, 5.962844630259907, 7.215607598755275, 5.829313237635384]","[0.7731407022961342, 0.6607169186654258, 1.1925689260519814, 1.4431215197510552, 1.1658626475270768]"
620,gimana ngatasin kangen ex kangen mantan tp udah bener lost contact,"[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[5.4238481295272205, 6.810142490647111, 3.749871695955549, 5.829313237635384, 6.810142490647111, 5.200704578213011, 4.1475546636216585, 3.5780214390288894]","[0.6026497921696912, 0.7566824989607901, 0.41665241066172765, 1.295402941696752, 0.7566824989607901, 0.5778560642458901, 0.4608394070690731, 0.39755793766987657]"
621,guna hp xiaomi tunjukkin font hp mu yg lucu,"[0.4, 0.2, 0.2, 0.2]","[5.13616605707544, 5.4238481295272205, 6.29931686688112, 2.8525089739669127]","[2.054466422830176, 1.0847696259054442, 1.2598633733762241, 0.5705017947933826]"
622,sender lg sakit gk makan pedes enak makan ap yh,"[0.1, 0.1, 0.1, 0.1, 0.2, 0.1, 0.1, 0.1, 0.1]","[6.52246041819533, 6.116995310087166, 6.116995310087166, 5.51085950651685, 4.96431580014878, 7.215607598755275, 4.96431580014878, 3.4428466606606367, 5.51085950651685]","[0.652246041819533, 0.6116995310087167, 0.6116995310087167, 0.551085950651685, 0.992863160029756, 0.7215607598755276, 0.496431580014878, 0.34428466606606367, 0.551085950651685]"
623,nama cowok biarin aja dah panggil mas capeeek https tco vkjsyek,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[3.883403088580071, 5.6061696863211745, 5.51085950651685, 2.2992829841302607, 5.711530201979001, 5.200704578213011, 6.29931686688112, 2.2992829841302607]","[0.4854253860725089, 0.7007712107901468, 0.6888574383146062, 0.2874103730162826, 0.7139412752473752, 0.6500880722766263, 0.78741460836014, 0.2874103730162826]"
624,ahmad gweh lw mending diem aj dh https tco ojmtyqzw,"[0.2, 0.2, 0.2, 0.2, 0.2]","[6.810142490647111, 6.810142490647111, 2.2992829841302607, 4.864232341591798, 2.2992829841302607]","[1.3620284981294224, 1.3620284981294224, 0.4598565968260522, 0.9728464683183596, 0.4598565968260522]"
625,li ma ka taa https tco,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[2.2992829841302607, 6.810142490647111, 6.52246041819533, 6.52246041819533, 7.215607598755275, 2.2992829841302607]","[0.3832138306883768, 1.1350237484411851, 1.0870767363658882, 1.0870767363658882, 1.2026012664592125, 0.3832138306883768]"
626,mending yg guys klo yg tolong revi https tco udjvuoqw,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25]","[3.303584593327129, 2.2992829841302607, 5.018383021419056, 4.864232341591798, 2.2992829841302607, 4.412247217848741, 2.8525089739669127]","[0.41294807416589113, 0.2874103730162826, 0.627297877677382, 0.6080290426989747, 0.2874103730162826, 0.5515309022310926, 0.7131272434917282]"
627,temenan yuuuk small acc get freepass reply,"[0.25, 0.25, 0.25, 0.25]","[5.829313237635384, 5.4238481295272205, 7.215607598755275, 5.829313237635384]","[1.457328309408846, 1.3559620323818051, 1.8039018996888188, 1.457328309408846]"
628,guys bahasa inggris tumbuk biskuit halus apaa makasii,"[0.25, 0.25, 0.25, 0.25]","[5.962844630259907, 3.303584593327129, 6.116995310087166, 5.711530201979001]","[1.4907111575649767, 0.8258961483317823, 1.5292488275217915, 1.4278825504947503]"
629,haloo temen temen make in ear monitor gak tolong rekomendasi reviewnya terima kasih,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.1, 0.1]","[3.689247074139114, 6.810142490647111, 5.200704578213011, 4.773260563386071, 6.116995310087166, 6.52246041819533, 4.1475546636216585, 5.6061696863211745, 4.412247217848741]","[0.3689247074139114, 0.6810142490647112, 0.5200704578213011, 0.4773260563386071, 0.6116995310087167, 0.652246041819533, 0.8295109327243317, 0.5606169686321175, 0.4412247217848741]"
630,udah sadarin story ngebucin cewe tetep aja ngecrushin,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[3.883403088580071, 5.51085950651685, 5.962844630259907, 6.810142490647111, 5.6061696863211745, 3.5780214390288894]","[0.6472338480966785, 0.9184765844194749, 0.9938074383766511, 1.1350237484411851, 0.9343616143868624, 0.5963369065048149]"
631,guys makasih belum https tco mnrsw,"[0.2, 0.2, 0.2, 0.2, 0.2]","[6.810142490647111, 3.303584593327129, 2.2992829841302607, 4.689878954447019, 2.2992829841302607]","[1.3620284981294224, 0.6607169186654258, 0.4598565968260522, 0.937975790889404, 0.4598565968260522]"
632,ambil ga gais https tco tcdarlmqf,"[0.2, 0.2, 0.2, 0.2, 0.2]","[6.116995310087166, 2.7326050467413916, 4.650658241293739, 2.2992829841302607, 2.2992829841302607]","[1.2233990620174333, 0.5465210093482783, 0.9301316482587478, 0.4598565968260522, 0.4598565968260522]"
633,ngetik doang ngumpulin nyali dulu https tco,"[0.25, 0.25, 0.25, 0.25]","[5.018383021419056, 2.2992829841302607, 6.810142490647111, 2.2992829841302607]","[1.254595755354764, 0.5748207460325652, 1.7025356226617778, 0.5748207460325652]"
634,spill ayang fiksi mu https tco,"[0.2, 0.2, 0.2, 0.2, 0.2]","[6.810142490647111, 2.2992829841302607, 6.29931686688112, 5.51085950651685, 2.2992829841302607]","[1.3620284981294224, 0.4598565968260522, 1.2598633733762241, 1.10217190130337, 0.4598565968260522]"
635,emaknya rafatar cantik banget pas https tco,"[0.2, 0.2, 0.2, 0.2, 0.2]","[3.81441021709312, 6.52246041819533, 2.2992829841302607, 4.1710851610318525, 2.2992829841302607]","[0.7628820434186241, 1.304492083639066, 0.4598565968260522, 0.8342170322063706, 0.4598565968260522]"
636,ngaji mam permen https tco wwpdfo,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[2.2992829841302607, 6.810142490647111, 2.2992829841302607]","[0.7664276613767536, 2.2700474968823703, 0.7664276613767536]"
637,saranin kado wisuda pacar bunga makan kado simpan dipake waktu makasih,"[0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.125]","[6.29931686688112, 6.116995310087166, 4.96431580014878, 4.689878954447019, 4.412247217848741, 4.817712325956904, 5.4238481295272205]","[0.78741460836014, 1.5292488275217915, 0.6205394750185975, 0.5862348693058774, 0.5515309022310926, 0.602214040744613, 0.6779810161909026]"
638,cakeyanin kakakkk semangat yaa sidangnyaa moga lancarrr anw tolong semangatin kak anin makasih baikk dimsum,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[6.29931686688112, 4.689878954447019, 6.29931686688112, 6.116995310087166, 4.412247217848741, 4.245193133185574]","[1.0498861444801866, 0.7816464924078366, 1.0498861444801866, 1.0194992183478608, 0.7353745363081234, 0.7075321888642623]"
639,mantan sampe lo lakuin,"[0.25, 0.25, 0.25, 0.25]","[6.810142490647111, 6.116995310087166, 5.200704578213011, 4.650658241293739]","[1.7025356226617778, 1.5292488275217915, 1.3001761445532527, 1.1626645603234347]"
640,murah alf ama indo km,"[0.25, 0.25, 0.25, 0.25]","[6.116995310087166, 6.810142490647111, 5.829313237635384, 6.52246041819533]","[1.5292488275217915, 1.7025356226617778, 1.457328309408846, 1.6306151045488324]"
641,tolong rekomendasi novel wattpad anak sma yg seru happy ending saran author yg terbitin novel novel remaja thanks all,"[0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.2, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333]","[5.962844630259907, 4.650658241293739, 6.810142490647111, 6.52246041819533, 6.810142490647111, 6.52246041819533, 4.03755376840733, 6.29931686688112, 6.116995310087166, 5.6061696863211745, 4.412247217848741, 2.8525089739669127]","[0.39752297535066045, 0.3100438827529159, 0.45400949937647406, 0.4348306945463553, 1.3620284981294224, 0.4348306945463553, 0.2691702512271553, 0.41995445779207463, 0.4077996873391444, 0.373744645754745, 0.2941498145232494, 0.380334529862255]"
642,please rem jam malem keponakan mas tk rumah diem diri teras abis gedor gedor pintu pas gak diem aja kakak bawa dalem,"[0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705]","[4.96431580014878, 3.883403088580071, 6.52246041819533, 6.29931686688112, 6.810142490647111, 6.810142490647111, 3.689247074139114, 5.018383021419056, 6.116995310087166, 7.215607598755275, 5.51085950651685, 5.711530201979001, 4.1710851610318525, 5.6061696863211745, 4.817712325956904, 7.215607598755275]","[0.29201857647934, 0.22843547579882773, 0.3836741422467841, 0.370548050993007, 0.8011932341937777, 0.4005966170968889, 0.21701453377288904, 0.29519900125994447, 0.35982325353453914, 0.4244475058091338, 0.32416820626569703, 0.3359723648222942, 0.24535795064893248, 0.3297746874306573, 0.2833948427033473, 0.4244475058091338]"
643,fansign jaehyun kasih letters saran kata letters ap,"[0.2, 0.2, 0.2, 0.2, 0.2]","[6.52246041819533, 7.215607598755275, 4.773260563386071, 6.52246041819533, 4.03755376840733]","[1.304492083639066, 1.4431215197510552, 0.9546521126772142, 1.304492083639066, 0.807510753681466]"
644,gimana tolong bahagia ya https tco mnmonyrwwz,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[6.29931686688112, 3.749871695955549, 2.2992829841302607, 2.2992829841302607, 4.412247217848741, 6.116995310087166]","[1.0498861444801866, 0.6249786159925914, 0.3832138306883768, 0.3832138306883768, 0.7353745363081234, 1.0194992183478608]"
645,guys tidur biar ga ngorok gimana malu bbrp study tour temen thanks in advance,"[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[6.810142490647111, 4.689878954447019, 2.7326050467413916, 3.749871695955549, 3.303584593327129, 5.200704578213011, 6.52246041819533, 7.215607598755275, 4.1475546636216585, 5.6061696863211745, 4.730700948967275]","[0.6191038627861011, 0.42635263222245634, 0.2484186406128538, 0.3408974269050499, 0.3003258721206481, 0.4727913252920919, 0.5929509471086664, 0.6559643271595704, 0.37705042396560534, 0.5096517896655613, 0.43006372263338866]"
646,ti ti pann https tco,"[0.25, 0.25, 0.5]","[2.2992829841302607, 2.2992829841302607, 7.215607598755275]","[0.5748207460325652, 0.5748207460325652, 3.6078037993776375]"
