,final,TF_UNIGRAM,IDF_UNIGRAM,TFIDF_UNIGRAM
20,choose your fighter https tco lwx,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[2.2992829841302607, 2.2992829841302607, 5.269697449699962]","[0.7664276613767536, 0.7664276613767536, 1.7565658165666538]"
21,guyss asdfghjkl wa an crush omggg eidgeihdiehdie neng bgttt tolonginnn bego yh gapapa neng bgt plis ngobrol https tco cxyw,"[0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693]","[5.829313237635384, 3.7978809151419095, 4.507557397653065, 5.829313237635384, 5.962844630259907, 2.2992829841302607, 6.116995310087166, 6.116995310087166, 5.962844630259907, 2.2992829841302607, 5.711530201979001, 5.51085950651685]","[0.4484087105873373, 0.2921446857801469, 0.3467351844348512, 0.4484087105873373, 0.458680356173839, 0.17686792185617392, 0.9410762015518718, 0.4705381007759359, 0.458680356173839, 0.17686792185617392, 0.43934847707530783, 0.4239122697320654]"
22,guys kalo spotify game gitu kayak receiptify dll kalo apple music ngga,"[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[6.810142490647111, 6.810142490647111, 3.8657035114806706, 3.303584593327129, 3.2547944291576973, 4.864232341591798, 4.730700948967275, 6.52246041819533]","[0.7566824989607901, 0.7566824989607901, 0.42952261238674116, 0.36706495481412543, 0.7232876509239327, 0.5404702601768664, 0.5256334387741417, 0.7247178242439255]"
23,guys rumah pake ac tolong saranin ac awet sender rencana pengin beli ac tia,"[0.23076923076923078, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693]","[7.90875477931522, 6.810142490647111, 4.689878954447019, 3.303584593327129, 3.9769291465908947, 6.810142490647111, 4.817712325956904, 4.817712325956904, 3.4428466606606367, 5.200704578213011, 4.412247217848741]","[1.825097256765051, 0.5238571146651624, 0.36075991957284764, 0.25412189179439454, 0.30591762666083805, 0.5238571146651624, 0.3705932558428388, 0.3705932558428388, 0.2648343585123567, 0.4000541983240778, 0.3394036321422108]"
24,kasih tau film must watch,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[5.51085950651685, 4.773260563386071, 4.1475546636216585]","[1.8369531688389498, 1.5910868544620236, 1.3825182212072193]"
25,saran kado ultah ayah benda makan manis tia,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[6.52246041819533, 6.116995310087166, 4.96431580014878, 6.116995310087166, 4.03755376840733, 5.200704578213011, 5.6061696863211745]","[0.9317800597421899, 0.8738564728695951, 0.7091879714498257, 0.8738564728695951, 0.5767933954867613, 0.7429577968875729, 0.8008813837601677]"
26,help paham ga https tco,"[0.2, 0.2, 0.2, 0.2, 0.2]","[2.7326050467413916, 5.51085950651685, 2.2992829841302607, 6.52246041819533, 2.2992829841302607]","[0.5465210093482783, 1.10217190130337, 0.4598565968260522, 1.304492083639066, 0.4598565968260522]"
27,kudu gimana tolong saran ken move on tp susah https tco wlblr,"[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[3.749871695955549, 2.2992829841302607, 4.353406717825807, 5.6061696863211745, 4.03755376840733, 5.962844630259907, 2.2992829841302607, 4.412247217848741, 4.1475546636216585]","[0.41665241066172765, 0.2554758871255845, 0.4837118575362008, 0.622907742924575, 0.4486170853785922, 0.6625382922511007, 0.2554758871255845, 0.49024969087208226, 0.4608394070690731]"
28,saran film,"[0.5, 0.5]","[5.51085950651685, 4.03755376840733]","[2.755429753258425, 2.018776884203665]"
29,kucing kalo ndusel ndusel kaki tangan org nya,"[0.125, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125]","[6.52246041819533, 3.2547944291576973, 5.269697449699962, 7.215607598755275, 6.810142490647111, 5.711530201979001, 6.52246041819533]","[0.8153075522744162, 0.40684930364471217, 0.6587121812124952, 1.8039018996888188, 0.8512678113308889, 0.7139412752473752, 0.8153075522744162]"
30,ultah beli kue kado yay nay,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[4.689878954447019, 6.116995310087166, 6.52246041819533, 6.29931686688112, 5.6061696863211745, 6.29931686688112]","[0.7816464924078366, 1.0194992183478608, 1.0870767363658882, 1.0498861444801866, 0.9343616143868624, 1.0498861444801866]"
31,saranin nama kelas ips fwends,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[5.51085950651685, 5.200704578213011, 4.817712325956904]","[1.8369531688389498, 1.7335681927376703, 1.6059041086523014]"
32,rant acc mutualan yuu pindah akunn,"[0.2, 0.2, 0.2, 0.2, 0.2]","[5.829313237635384, 5.343805421853684, 6.810142490647111, 5.962844630259907, 7.215607598755275]","[1.1658626475270768, 1.068761084370737, 1.3620284981294224, 1.1925689260519814, 1.4431215197510552]"
33,bumi,[1.0],[7.215607598755275],[7.215607598755275]
34,ges namain kontak crush or bi ef nich,"[0.25, 0.25, 0.25, 0.25]","[4.507557397653065, 5.829313237635384, 6.29931686688112, 5.4238481295272205]","[1.1268893494132664, 1.457328309408846, 1.57482921672028, 1.3559620323818051]"
35,guys tarik tunai atm bri pakai debit mandiri nak ribu,"[0.25, 0.25, 0.25, 0.25]","[7.215607598755275, 3.303584593327129, 5.6061696863211745, 7.215607598755275]","[1.8039018996888188, 0.8258961483317823, 1.4015424215802936, 1.8039018996888188]"
36,cewe ken cari temen cewe jugaaa rumah daerah tangerang kalo rep yaaa,"[0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[5.711530201979001, 5.51085950651685, 6.52246041819533, 7.215607598755275, 3.2547944291576973, 4.353406717825807, 6.52246041819533, 4.817712325956904, 4.1475546636216585, 5.711530201979001]","[0.5192300183617274, 1.0019744557303363, 0.5929509471086664, 0.6559643271595704, 0.29589040265069977, 0.3957642470750734, 0.5929509471086664, 0.437973847814264, 0.37705042396560534, 0.5192300183617274]"
37,tau lord huron ga,"[0.5, 0.5]","[2.7326050467413916, 4.1475546636216585]","[1.3663025233706958, 2.0737773318108292]"
